layer1_InorganicFormula,layer2_InorganicFormula
CsPbBr2I,CsPbBr3
CsPbBr2I,CsPbBr3
CsPbBr2I,CsPbClI2
CsPbBr2I,CsPbClI2
CsPbBr3,CH3NH3PbBr2I
CsPbBr3,CH3NH3PbBr2I
CsPbCl2Br,CH3NH3SnBrI2
CsPbCl2Br,CH3NH3SnBrI2
CsPbCl2I,CsPbCl2Br
CsPbCl2I,CsPbCl2Br
CsPbI3,CsPbBr2I
CsPbI3,CsPbBr2I
CsPbI3,CsPbI3
CsPbI3,CsPbI3
CsPbI3,CH3NH3PbI3
CsPbI3,CH3NH3PbI3
CsSnBrI2,(NH2)2CHSnBr2I
CsSnBrI2,(NH2)2CHSnBr2I
CsSnBrI2,(NH2)2CHSnBr2I
CsSnBrI2,(NH2)2CHSnBr2I
CsSnBrI2,CH3NH3SnClI2
CsSnBrI2,CH3NH3SnClI2
CsSnCl3,(NH2)2CHSnClF2
CsSnCl3,(NH2)2CHSnClF2
CsSnClBr2,(NH2)2CHSnCl2I
CsSnClBr2,(NH2)2CHSnCl2I
CsSnClBr2,(NH2)2CHSnCl3
CsSnClBr2,(NH2)2CHSnCl3
CsSnClF2,CH3NH3PbCl2I
CsSnClF2,CH3NH3PbCl2I
(NH2)2CHPbBr2I,CsPbI3
(NH2)2CHPbBr2I,CsPbI3
(NH2)2CHPbBr2I,CsSnBrI2
(NH2)2CHPbBr2I,CsSnBrI2
(NH2)2CHPbCl2I,CsPbCl2I
(NH2)2CHPbCl2I,CsPbCl2I
(NH2)2CHPbI3,CH3NH3PbBr2I
(NH2)2CHPbI3,CH3NH3PbBr2I
(NH2)2CHPbI3,CH3NH3PbI3
(NH2)2CHPbI3,CH3NH3PbI3
(NH2)2CHPbI3,CH3NH3SnCl2Br
(NH2)2CHPbI3,CH3NH3SnCl2Br
(NH2)2CHSnCl3,CH3NH3SnClF2
(NH2)2CHSnCl3,CH3NH3SnClF2
(NH2)2CHSnClBr2,CsPbClBr2
(NH2)2CHSnClBr2,CsPbClBr2
(NH2)2CHSnClI2,(NH2)2CHSnI3
(NH2)2CHSnClI2,(NH2)2CHSnI3
(NH2)2CHSnFCl2,(NH2)2CHSnClBr2
(NH2)2CHSnFCl2,(NH2)2CHSnClBr2
CH3NH3PbBr2I,CH3NH3SnBrI2
CH3NH3PbBr2I,CH3NH3SnClBr2
CH3NH3PbBr2I,CH3NH3SnClBr2
CH3NH3PbBrI2,(NH2)2CHSnF2Cl
CH3NH3PbBrI2,(NH2)2CHSnF2Cl
CH3NH3PbCl2I,(NH2)2CHSnCl2I
CH3NH3PbCl2I,(NH2)2CHSnCl2I
CH3NH3PbCl2I,(NH2)2CHSnCl2I
CH3NH3PbCl3,(NH2)2CHPbCl3
CH3NH3PbCl3,(NH2)2CHPbCl3
CH3NH3PbClI2,CH3NH3PbBr2I
CH3NH3PbClI2,CH3NH3PbBr2I
CH3NH3PbClI2,CH3NH3PbCl2Br
CH3NH3PbClI2,CH3NH3PbCl2Br
CH3NH3SnBr3,CsPbBrI2
CH3NH3SnBr3,CsPbBrI2
CH3NH3SnBr3,CsSnBr3
CH3NH3SnBr3,CsSnBr3
CH3NH3SnBrI2,CsPbI3
CH3NH3SnBrI2,CsPbI3
CH3NH3SnCl2Br,CsPbClBr2
CH3NH3SnCl2Br,CsPbClBr2
CH3NH3SnCl3,CH3NH3PbBr2I
CH3NH3SnCl3,CH3NH3PbBr2I
CH3NH3SnClF2,(NH2)2CHSnI3
CH3NH3SnClF2,(NH2)2CHSnI3
CH3NH3SnI3,CsPbI3
CH3NH3SnI3,CsPbI3
